node,operation,nlistener,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
database,deploy,2,0,0,0,0,1,1,0.000308990478515625,2.765655517578125e-05,7.152557373046875e-07,0,0,0,0.4625673294067383,0.0,0.4625673294067383,0.462904691696167
database,deploy,2,0,0,0,0,1,1,0.0003533363342285156,3.361701965332031e-05,7.152557373046875e-07,0,0,0,0.21824431419372559,0.0,0.21824431419372559,0.21863198280334473
database,deploy,2,0,0,0,0,1,1,0.0002639293670654297,3.0994415283203125e-05,4.76837158203125e-07,0,0,0,0.21918106079101562,0.0,0.21918106079101562,0.21947646141052246
database,deploy,2,0,0,0,0,1,1,0.00019168853759765625,2.4080276489257812e-05,4.76837158203125e-07,0,0,0,0.21683406829833984,0.0,0.21683406829833984,0.21705031394958496
database,deploy,2,0,0,0,0,1,1,0.00022339820861816406,2.86102294921875e-05,9.5367431640625e-07,0,0,0,0.200394868850708,0.0,0.200394868850708,0.20064783096313477
database,deploy,2,0,0,0,0,1,1,0.0002014636993408203,2.193450927734375e-05,4.76837158203125e-07,0,0,0,0.21649408340454102,0.0,0.21649408340454102,0.21671795845031738
database,deploy,2,0,0,0,0,1,1,0.0003769397735595703,3.0517578125e-05,7.152557373046875e-07,0,0,0,0.2071700096130371,0.0,0.2071700096130371,0.20757818222045898
database,deploy,2,0,0,0,0,1,1,0.0002624988555908203,2.5272369384765625e-05,2.384185791015625e-07,0,0,0,0.20560097694396973,0.0,0.20560097694396973,0.20588898658752441
database,deploy,2,0,0,0,0,1,1,0.0002598762512207031,2.3126602172851562e-05,4.76837158203125e-07,0,0,0,0.20648527145385742,0.0,0.20648527145385742,0.20676875114440918
database,deploy,2,0,0,0,0,1,1,0.0003657341003417969,2.9802322387695312e-05,7.152557373046875e-07,0,0,0,0.21176767349243164,0.0,0.21176767349243164,0.21216392517089844
system,deploy,2,0,0,0,0,1,1,0.00031447410583496094,2.5510787963867188e-05,4.76837158203125e-07,0,0,0,0.41295814514160156,0.0,0.41295814514160156,0.4132986068725586
system,deploy,2,0,0,0,0,1,1,0.0001659393310546875,2.0503997802734375e-05,7.152557373046875e-07,0,0,0,0.26870274543762207,0.0,0.26870274543762207,0.2688899040222168
system,deploy,2,0,0,0,0,1,1,0.0002067089080810547,1.6450881958007812e-05,4.76837158203125e-07,0,0,0,0.24925971031188965,0.0,0.24925971031188965,0.24948334693908691
system,deploy,2,0,0,0,0,1,1,0.00013756752014160156,1.7642974853515625e-05,4.76837158203125e-07,0,0,0,0.2621183395385742,0.0,0.2621183395385742,0.26227402687072754
system,deploy,2,0,0,0,0,1,1,0.00012922286987304688,1.6450881958007812e-05,4.76837158203125e-07,0,0,0,0.2492971420288086,0.0,0.2492971420288086,0.24944329261779785
system,deploy,2,0,0,0,0,1,1,0.00030803680419921875,2.765655517578125e-05,4.76837158203125e-07,0,0,0,0.2635989189147949,0.0,0.2635989189147949,0.2639350891113281
system,deploy,2,0,0,0,0,1,1,0.0002484321594238281,1.8358230590820312e-05,4.76837158203125e-07,0,0,0,0.24758124351501465,0.0,0.24758124351501465,0.2478485107421875
system,deploy,2,0,0,0,0,1,1,0.0002865791320800781,4.172325134277344e-05,9.5367431640625e-07,0,0,0,0.24739432334899902,0.0,0.24739432334899902,0.24772357940673828
system,deploy,2,0,0,0,0,1,1,0.00021982192993164062,1.8358230590820312e-05,4.76837158203125e-07,0,0,0,0.25051021575927734,0.0,0.25051021575927734,0.250748872756958
system,deploy,2,0,0,0,0,1,1,0.0002808570861816406,1.6689300537109375e-05,7.152557373046875e-07,0,0,0,0.24901390075683594,0.0,0.24901390075683594,0.249312162399292
sensor_1,deploy,2,0,0,0,0,2,2,0.00038504600524902344,4.744529724121094e-05,7.152557373046875e-07,0,0,0,0.7074754238128662,0.0,0.7074754238128662,0.7079086303710938
sensor_1,deploy,2,0,0,0,0,2,2,0.0004200935363769531,0.00010228157043457031,7.152557373046875e-07,0,0,0,0.4558522701263428,0.0,0.4558522701263428,0.4563753604888916
sensor_1,deploy,2,0,0,0,0,2,2,0.0003654956817626953,0.0001862049102783203,9.5367431640625e-07,0,0,0,0.4623749256134033,0.0,0.4623749256134033,0.46292757987976074
sensor_1,deploy,2,0,0,0,0,2,2,0.0003268718719482422,0.00011420249938964844,9.5367431640625e-07,0,0,0,0.3914151191711426,0.0,0.3914151191711426,0.3918571472167969
sensor_1,deploy,2,0,0,0,0,2,2,0.00029754638671875,3.24249267578125e-05,7.152557373046875e-07,0,0,0,0.3702864646911621,0.0,0.3702864646911621,0.370617151260376
sensor_1,deploy,2,0,0,0,0,2,2,0.00028395652770996094,0.00010180473327636719,9.5367431640625e-07,0,0,0,0.36474013328552246,0.0,0.36474013328552246,0.3651268482208252
sensor_1,deploy,2,0,0,0,0,2,2,0.0003383159637451172,3.075599670410156e-05,9.5367431640625e-07,0,0,0,0.4633197784423828,0.0,0.4633197784423828,0.46368980407714844
sensor_1,deploy,2,0,0,0,0,2,2,0.0003025531768798828,0.0001285076141357422,4.76837158203125e-07,0,0,0,0.36399054527282715,0.0,0.36399054527282715,0.364422082901001
sensor_1,deploy,2,0,0,0,0,2,2,0.0003952980041503906,0.00010251998901367188,7.152557373046875e-07,0,0,0,0.3805515766143799,0.0,0.3805515766143799,0.38105010986328125
sensor_1,deploy,2,0,0,0,0,2,2,0.0004591941833496094,3.504753112792969e-05,7.152557373046875e-07,0,0,0,0.3618030548095703,0.0,0.3618030548095703,0.36229801177978516
sensor_0,deploy,2,0,0,0,0,2,2,0.0003750324249267578,4.267692565917969e-05,9.5367431640625e-07,0,0,0,0.630859375,0.0,0.630859375,0.6312780380249023
sensor_0,deploy,2,0,0,0,0,2,2,0.0002932548522949219,0.00014519691467285156,7.152557373046875e-07,0,0,0,0.448411226272583,0.0,0.448411226272583,0.4488503932952881
sensor_0,deploy,2,0,0,0,0,2,2,0.0004394054412841797,0.00012493133544921875,4.76837158203125e-07,0,0,0,0.45014381408691406,0.0,0.45014381408691406,0.45070862770080566
sensor_0,deploy,2,0,0,0,0,2,2,0.00031113624572753906,0.00015044212341308594,9.5367431640625e-07,0,0,0,0.44605588912963867,0.0,0.44605588912963867,0.4465184211730957
sensor_0,deploy,2,0,0,0,0,2,2,0.0005056858062744141,4.00543212890625e-05,7.152557373046875e-07,0,0,0,0.4421803951263428,0.0,0.4421803951263428,0.44272685050964355
sensor_0,deploy,2,0,0,0,0,2,2,0.0002608299255371094,0.00010132789611816406,7.152557373046875e-07,0,0,0,0.4394264221191406,0.0,0.4394264221191406,0.4397892951965332
sensor_0,deploy,2,0,0,0,0,2,2,0.0002491474151611328,0.00010776519775390625,7.152557373046875e-07,0,0,0,0.44785165786743164,0.0,0.44785165786743164,0.448209285736084
sensor_0,deploy,2,0,0,0,0,2,2,0.0003769397735595703,0.00013113021850585938,4.76837158203125e-07,0,0,0,0.4282870292663574,0.0,0.4282870292663574,0.42879557609558105
sensor_0,deploy,2,0,0,0,0,2,2,0.0004069805145263672,0.000148773193359375,7.152557373046875e-07,0,0,0,0.43529510498046875,0.0,0.43529510498046875,0.4358515739440918
sensor_0,deploy,2,0,0,0,0,2,2,0.00041866302490234375,3.5762786865234375e-05,7.152557373046875e-07,0,0,0,0.4499506950378418,0.0,0.4499506950378418,0.4504058361053467
