node,operation,nworker,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
master,deploy,10,0,0,0,0,7,7,0.000523805618286133,5.00679016113281E-05,1.9073486328125E-06,0,0,0,1.62456870079041,0,1.62456870079041,1.62514448165894
master,deploy,10,0,0,0,0,7,7,0.000492095947265625,4.81605529785156E-05,1.66893005371094E-06,0,0,0,1.43042635917664,0,1.43042635917664,1.43096828460693
master,deploy,10,0,0,0,0,7,7,0.000543355941772461,4.72068786621094E-05,1.9073486328125E-06,0,0,0,1.44709753990173,0,1.44709753990173,1.4476900100708
master,deploy,10,0,0,0,0,7,7,0.000505208969116211,5.05447387695313E-05,1.66893005371094E-06,0,0,0,1.47605419158936,0,1.47605419158936,1.4766116142273
master,deploy,10,0,0,0,0,7,7,0.000570535659790039,4.33921813964844E-05,1.66893005371094E-06,0,0,0,1.45128273963928,0,1.45128273963928,1.45189833641052
master,deploy,10,0,0,0,0,7,7,0.000684022903442383,4.69684600830078E-05,1.19209289550781E-06,0,0,0,1.49897122383118,0,1.49897122383118,1.4997034072876
master,deploy,10,0,0,0,0,7,7,0.000673055648803711,5.38825988769531E-05,9.5367431640625E-07,0,0,0,1.47827672958374,0,1.47827672958374,1.47900462150574
master,deploy,10,0,0,0,0,7,7,0.000507593154907227,5.03063201904297E-05,1.9073486328125E-06,0,0,0,1.44490766525269,0,1.44490766525269,1.44546747207642
master,deploy,10,0,0,0,0,7,7,0.000872611999511719,6.74724578857422E-05,1.66893005371094E-06,0,0,0,1.4599916934967,0,1.4599916934967,1.46093344688416
master,deploy,10,0,0,0,0,7,7,0.000548839569091797,5.00679016113281E-05,2.38418579101562E-06,0,0,0,1.465252161026,0,1.465252161026,1.4658534526825
worker_0,deploy,10,0,0,0,0,9,9,0.00128912925720215,7.70092010498047E-05,2.62260437011719E-06,0,0,0,2.1277437210083,0,2.1277437210083,2.12911248207092
worker_0,deploy,10,0,0,0,0,9,9,0.000957727432250977,7.96318054199219E-05,2.38418579101562E-06,0,0,0,1.97341704368591,0,1.97341704368591,1.97445678710938
worker_0,deploy,10,0,0,0,0,9,9,0.000937461853027344,7.2479248046875E-05,2.38418579101562E-06,0,0,0,2.00882863998413,0,2.00882863998413,2.009840965271
worker_0,deploy,10,0,0,0,0,9,9,0.000757932662963867,6.36577606201172E-05,2.62260437011719E-06,0,0,0,1.98666858673096,0,1.98666858673096,1.98749279975891
worker_0,deploy,10,0,0,0,0,9,9,0.000980615615844727,7.67707824707031E-05,1.66893005371094E-06,0,0,0,2.03883147239685,0,2.03883147239685,2.03989052772522
worker_0,deploy,10,0,0,0,0,9,9,0.00106143951416016,6.98566436767578E-05,2.14576721191406E-06,0,0,0,2.00465512275696,0,2.00465512275696,2.00578856468201
worker_0,deploy,10,0,0,0,0,9,9,0.000893354415893555,7.58171081542969E-05,2.38418579101562E-06,0,0,0,2.10533428192139,0,2.10533428192139,2.10630583763123
worker_0,deploy,10,0,0,0,0,9,9,0.000871419906616211,7.31945037841797E-05,1.66893005371094E-06,0,0,0,1.92335891723633,0,1.92335891723633,1.92430520057678
worker_0,deploy,10,0,0,0,0,9,9,0.000852823257446289,6.67572021484375E-05,1.66893005371094E-06,0,0,0,1.98253560066223,0,1.98253560066223,1.98345685005188
worker_0,deploy,10,0,0,0,0,9,9,0.000879287719726563,6.98566436767578E-05,2.38418579101562E-06,0,0,0,1.9836208820343,0,1.9836208820343,1.9845724105835
neutron_0,deploy,10,0,0,0,0,1,1,0.000345945358276367,4.91142272949219E-05,4.76837158203125E-07,0,0,0,0.495599508285522,0,0.495599508285522,0.495995044708252
neutron_0,deploy,10,0,0,0,0,1,1,0.000307798385620117,2.93254852294922E-05,2.38418579101562E-07,0,0,0,0.488774299621582,0,0.488774299621582,0.489111661911011
neutron_0,deploy,10,0,0,0,0,1,1,0.000259637832641602,2.93254852294922E-05,7.15255737304688E-07,0,0,0,0.433747291564941,0,0.433747291564941,0.43403697013855
neutron_0,deploy,10,0,0,0,0,1,1,0.000228643417358398,2.98023223876953E-05,7.15255737304688E-07,0,0,0,0.4785475730896,0,0.4785475730896,0.478806734085083
neutron_0,deploy,10,0,0,0,0,1,1,0.000228643417358398,3.02791595458984E-05,4.76837158203125E-07,0,0,0,0.488239526748657,0,0.488239526748657,0.48849892616272
neutron_0,deploy,10,0,0,0,0,1,1,0.000219345092773437,3.09944152832031E-05,4.76837158203125E-07,0,0,0,0.468857049942017,0,0.468857049942017,0.469107866287231
neutron_0,deploy,10,0,0,0,0,1,1,0.000216245651245117,3.14712524414062E-05,7.15255737304688E-07,0,0,0,0.450250387191772,0,0.450250387191772,0.450498819351196
neutron_0,deploy,10,0,0,0,0,1,1,0.000211238861083984,3.09944152832031E-05,4.76837158203125E-07,0,0,0,0.43804144859314,0,0.43804144859314,0.438284158706665
